Project Name,Project Description,Skills Required,Framework,Tools and Technology,Project Level,Category,Domain,Approx Time (in weeks),Branch,CGPA
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Data Science,E-commerce,21,MECH,9.19
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Beginner,Web Development,Technology,17,CSE,8.01
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Beginner,IoT,Entertainment,5,MECH,6.36
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,Blockchain,Entertainment,20,MECH,8.71
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Advanced,Blockchain,Healthcare,13,IT,9.44
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Web Development,Technology,11,MECH,8.55
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Intermediate,Blockchain,Finance,4,CSE,6.98
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,Cybersecurity,Technology,22,ECE,8.14
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,Game Development,Education,4,EEE,9.92
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,Blockchain,Healthcare,6,IT,8.41
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Cybersecurity,Entertainment,22,EEE,7.03
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Web Development,Finance,6,EEE,9.59
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Intermediate,Data Science,E-commerce,17,EEE,9.6
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,IoT,Technology,5,MECH,8.62
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Data Science,Technology,9,EEE,8.43
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Intermediate,Game Development,Finance,4,MECH,6.53
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,IoT,E-commerce,15,EEE,9.15
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Advanced,Web Development,Healthcare,22,EEE,7.49
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Blockchain,Finance,18,MECH,7.77
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Intermediate,Data Science,Technology,18,ECE,6.3
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Web Development,Healthcare,9,EEE,7.35
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Advanced,IoT,E-commerce,5,ECE,6.85
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,IoT,Healthcare,10,IT,8.77
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Blockchain,Healthcare,14,MECH,8.61
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Web Development,Finance,19,MECH,7.82
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,Game Development,Education,13,EEE,9.25
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,IoT,Education,17,EEE,7.07
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Beginner,IoT,Entertainment,19,MECH,8.93
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,Blockchain,Education,22,IT,9.78
